Academic Program Name,Branch_master
"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Aerospace
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Agricultural and Food
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Agricultural and Food
"Agricultural Engineering (4 Years, Bachelor of Technology)",Agricultural and Food
"Applied Geology (5 Years, Integrated Master of Science)",Geology/Geophysics
"Applied Geology (5 Years, Integrated Master of Technology)",Geology/Geophysics
"Applied Geophysics (5 Years, Integrated Master of Technology)",Geology/Geophysics
"Applied Mathematics (5 Years, Integrated Master of Science)",Mathematics
"Architecture (5 Years, Bachelor of Architecture)",Architecture/Planning
"Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",Architecture/Planning
"Artificial Intelligence (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Bio Engineering (4 Years, Bachelor of Technology)",Biological
"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Biotechnology
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Biomedical
"Bio Technology (4 Years, Bachelor of Technology)",Biotechnology
"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",Biochemical
"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",Biotechnology
"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Biological
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Biotechnology
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological
"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical
"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Biotechnology
"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",Biotechnology
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Biotechnology
"BS in Mathematics (4 Years, Bachelor of Science)",Mathematics
"Carpet and Textile Technology (4 Years, Bachelor of Technology)",Textile
"Ceramic Engineering (4 Years, Bachelor of Technology)",Ceramic
"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Ceramic
"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",Ceramic
"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical
"Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",Chemical
"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical
"Chemistry (4 Years, Bachelor of Science)",Chemistry
"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Chemistry
"Chemistry (5 Years, Integrated Master of Science)",Chemistry
"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",Civil
"Civil Engineering (4 Years, Bachelor of Technology)",Civil
"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil
"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil
"Computer Engineering (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Computer Science (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Computer Science (5 Years, Integrated Master of Technology)",Computer Science/AI/IT
"Computer Science & Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",Computer Science/AI/IT
"Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Computer Science/AI/IT
"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Data Science and Engineering (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Earth Sciences (4 Years, Bachelor of Science)",Earth Sciences
"Economics (4 Years, Bachelor of Science)",Economics
"Economics (5 Years, Integrated Master of Science)",Economics
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Electrical and Electronics
"Electrical and Instrumentation Engineering (4 Years, Bachelor of Technology)",Electrical
"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Electrical
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical
"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical
"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical
"Electronics & Communication Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",Electronics and Communication
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electronics and Communication
"Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",Electronics and Communication
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Electrical Communication
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Electronics and Electrical Communication
"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",Electronics and Electrical Communication
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Electronics and Instrumentation
"Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",Electronics and Telecommunication
"Electronics Engineering (4 Years, Bachelor of Technology)",Electronics and Communication
"Electronics System Engineering (4 Years, Bachelor of Technology)",Electronics and Communication
"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Energy
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",Engineering and Computational Mechanics
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Engineering Design
"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics
"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",Engineering Physics
"Engineering Science (4 Years, Bachelor of Technology)",Engineering Science
"Environmental Engineering (4 Years, Bachelor of Technology)",Environmental Science
"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Environmental Science
"Exploration Geophysics (5 Years, Integrated Master of Science)",Geology/Geophysics
"Food Engineering and Technology (4 Years, Bachelor of Technology)",Agricultural and Food
"Food Process Engineering (4 Years, Bachelor of Technology)",Agricultural and Food
"Food Technology (4 Years, Bachelor of Technology)",Agricultural and Food
"Food Technology and Management (4 Years, Bachelor of Technology)",Agricultural and Food
"Geological Technology (5 Years, Integrated Master of Technology)",Geology/Geophysics
"Geophysical Technology (5 Years, Integrated Master of Technology)",Geology/Geophysics
"Industrial and Production Engineering (4 Years, Bachelor of Technology)",Industrial
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Industrial
"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",Industrial
"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemistry
"Industrial Design (4 Years, Bachelor of Technology)",Engineering Design
"Information Technology (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Information Technology-Business Informatics (4 Years, Bachelor of Technology)",Computer Science/AI/IT
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",Instrumentation and Control
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Instrumentation and Control
"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",Computer Science/AI/IT
"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and M. Tech. /MBA)",Computer Science/AI/IT
"Life Science (5 Years, Integrated Master of Science)",Biological
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical/Material
"Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical/Material
"Mathematics (5 Years, Integrated Master of Science)",Mathematics
"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Mathematics and Computing
"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing
"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",Mathematics and Computing
"Mathematics and Computing (5 Years, Integrated Master of Science)",Mathematics and Computing
"Mathematics and Computing (5 Years, Integrated Master of Technology)",Mathematics and Computing
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Mathematics and Computing
"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical
"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical
"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical
"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical
"Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",Mechanical
"Mechatronics Engineering (4 Years, Bachelor of Technology)",Mechatronics
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical/Material
"Metallurgical Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical/Material
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical/Material
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical/Material
"Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",Metallurgical/Material
"Mining Engineering (4 Years, Bachelor of Technology)",Mining
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining
"Mining Machinery Engineering (4 Years, Bachelor of Technology)",Mining
"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining
"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",Naval Architecture/Ocean
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Naval Architecture/Ocean
"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",Naval Architecture/Ocean
"Petroleum Engineering (4 Years, Bachelor of Technology)",Petroleum
"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",Pharmaceutical
"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",Pharmaceutical
"Physics (4 Years, Bachelor of Science)",Physics
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Physics
"Physics (5 Years, Integrated Master of Science)",Mathematics and Computing
"Planning (4 Years, Bachelor of Planning)",Planning
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Polymer Science
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production and Industrial
"Production Engineering (4 Years, Bachelor of Technology)",Production and Industrial
Program,Branch_master
"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",Quality
"Smart Manufacturing (4 Years, Bachelor of Technology)",Metallurgical/Material
"Textile Technology (4 Years, Bachelor of Technology)",Textile
