Program,Branch_master
"Civil Engineering (4 Years, Bachelor of Technology)",Civil 
"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil 
"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil 
"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil 
"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and 
"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Computer Science and 
"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical 
"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical 
"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication 
"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical 
"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical 
"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical 
"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical 
"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical and Materials 
"Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical and Materials 
"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace 
"BS in Mathematics (4 Years, Bachelor of Science)",
"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical 
"Chemistry (4 Years, Bachelor of Science)",
"Economics (4 Years, Bachelor of Science)",
"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical 
"Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Energy 
"Engineering Physics (4 Years, Bachelor of Technology)",
"Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Environmental Science and 
"Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical 
"Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical 
"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical 
"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Bio 
"Data Science and Engineering (4 Years, Bachelor of Technology)",Data Science and 
"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical 
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical 
"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Electrical 
"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",
"Materials Engineering (4 Years, Bachelor of Technology)",Materials 
"Mathematics and Computing (4 Years, Bachelor of Technology)",
